multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgABHD17A_2	sgAADAC_4	NA	sgABHD14A_1	sgANKRD16_1	sgABCA8_1
sgABHD17A_4	sgAARSD1_2	NA	sgABHD14A-ACY1_4	sgAPBA3_2	sgABHD1_4
sgACKR4_2	sgAASDHPPT_3	NA	sgABHD15_4	sgAPOL1_2	sgABO_2
sgACKR4_3	sgABCA10_3	NA	sgABHD2_2	sgAQP12A_4	sgABO_3
sgACKR4_4	sgABCA1_2	NA	sgACOT1_4	sgBCL2L15_4	sgABO_4
sgACSM2A_1	sgABCA3_1	NA	sgACTR5_4	sgC3orf52_1	sgACAD9_1
sgADAM21_2	sgABCB10_3	NA	sgADA2_1	sgCGB7_3	sgACRV1_1
sgADGRE5_3	sgABCB11_2	NA	sgADISSP_1	sgCLEC1B_3	sgACTN1_2
sgAGAP4_1	sgABCB1_3	NA	sgAGBL5_4	sgEIF2AK3_3	sgADAM11_1
sgAGAP5_1	sgABCB5_4	NA	sgAGFG1_3	sgFAM90A20_3	sgADAM12_4
sgAGAP5_2	sgABCC3_4	NA	sgAKR1C8_1	sgFRAS1_1	sgADAMTSL3_3
sgAGAP9_3	sgABCC4_1	NA	sgANKFN1_4	sgFZD5_4	sgADCK5_3
sgAGAP9_4	sgABCC5_3	NA	sgANKMY1_2	sgGPR42_2	sgADD1_3
sgAK2_1	sgABCE1_2	NA	sgAPOBEC1_3	sgHLA-C_4	sgAGR2_2
sgAK4P3_1	sgABCE1_4	NA	sgARHGEF12_2	sgHSBP1L1_1	sgAHCTF1_2
sgAK4P3_2	sgABCF2_1	NA	sgASAH1_2	sgINPP5A_2	sgAHSP_1
sgAKAP17A_1	sgABCF2_3	NA	sgC18orf63_1	sgKCNMB1_2	sgAIDA_2
sgAKAP17A_4	sgABHD16A_2	NA	sgC2orf74_4	sgKNG1_1	sgAIF1_4
sgAKAP17A_5	sgABHD17A_1	NA	sgC3orf85_4	sgKRT13_4	sgAKR7L_3
sgAKAP17A_6	sgABHD1_2	NA	sgC5AR1_2	sgLDLRAD2_1	sgALDH16A1_4
sgAKR1B15_3	sgABITRAM_3	NA	sgC8orf76_2	sgLMOD3_3	sgALDH18A1_1
