multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgABHD17A_1	sgA4GALT_1	NA	sgABCB8_2	sgADAMTSL1_3	sgAAED1_2
sgABHD17A_2	sgAADAC_3	NA	sgABHD14A_4	sgALPK1_3	sgABCA3_1
sgABHD17A_3	sgABCA7_2	NA	sgACSL5_3	sgANAPC1_4	sgABCF2_4
sgABHD17A_4	sgABCB10_2	NA	sgALG10_1	sgANP32C_1	sgABO_1
sgACKR4_1	sgABCB10_3	NA	sgANKRD34A_2	sgAPBA3_3	sgABO_3
sgACKR4_2	sgABCB11_3	NA	sgANXA6_1	sgAPH1B_1	sgABO_4
sgACSM2A_1	sgABCB6_3	NA	sgAPLN_3	sgAPOBEC3H_4	sgACBD5_3
sgACSM2B_1	sgABCE1_1	NA	sgARSD_1	sgBCL2L15_4	sgACD_3
sgACSM2B_4	sgABCE1_2	NA	sgATXN7L1_4	sgBTG4_3	sgACER3_3
sgACTB_3	sgABCE1_3	NA	sgBBIP1_1	sgC4orf45_4	sgACOX1_3
sgACTR3C_1	sgABHD17C_1	NA	sgBBS4_2	sgCAPRIN2_4	sgACPP_1
sgACTR3C_2	sgABLIM2_3	NA	sgC12orf54_4	sgCBLB_1	sgACPT_3
sgAGAP4_1	sgABO_2	NA	sgC1orf177_4	sgCCDC176_4	sgACSBG2_4
sgAGAP4_2	sgABR_2	NA	sgC3orf38_3	sgCCDC37_2	sgACTA2_3
sgAGAP4_3	sgACAA2_1	NA	sgC6orf223_2	sgCGB7_3	sgACTG2_3
sgAGAP4_4	sgACAA2_3	NA	sgCABS1_2	sgCLIC6_2	sgADAD2_4
sgAGAP5_1	sgACAA2_4	NA	sgCALML6_2	sgCLLU1OS_3	sgADAMTS14_4
sgAGAP5_2	sgACACA_2	NA	sgCBR4_1	sgCREB3L2_3	sgADAMTS9_1
sgAGAP6_1	sgACAP3_4	NA	sgCCDC172_1	sgCST9_3	sgADGRA2_3
sgAGAP6_2	sgACER2_3	NA	sgCCDC183_2	sgDEFB126_4	sgADGRD1_1
sgAGAP9_1	sgACER3_1	NA	sgCCNF_2	sgDISC1_2	sgADGRF2_1
sgAGAP9_2	sgACE_3	NA	sgCDV3_4	sgDNAAF1_3	sgADGRF2_2
sgAGAP9_3	sgACKR2_4	NA	sgCECR1_1	sgDNAH6_4	sgADGRF2_3
sgAGAP9_4	sgACKR4_3	NA	sgCENPBD1_1	sgEPHA8_1	sgADSS_3
sgAHNAK2_4	sgACKR4_4	NA	sgCEP44_1	sgFAM205A_1	sgAEBP1_3
sgAHNAK_4	sgACOT13_1	NA	sgCFAP58_3	sgGOLGA6L2_4	sgAGAP11_1
sgAIDA_1	sgACOT13_4	NA	sgCFHR4_3	sgGPR26_1	sgAGMAT_4
sgAIDA_3	sgACOT1_1	NA	sgCHML_4	sgHLA-A_2	sgAGPAT5_1
sgAK2_1	sgACOT1_2	NA	sgCKS1B_2	sgHLA-DQB1_3	sgAGPS_4
sgAK4_3	sgACOT1_3	NA	sgCLCC1_1	sgHLA-DRB5_4	sgAHSA2_1
sgAKAP17A_1	sgACOT1_4	NA	sgCNIH1_1	sgIRF2BP2_3	sgAHSA2_2
sgAKAP17A_2	sgACOT2_2	NA	sgCOPE_2	sgLAMA5_4	sgAHSA2_3
sgAKAP17A_4	sgACOT2_3	NA	sgCRY1_1	sgLAMTOR5_2	sgAHSA2_4
sgAKIP1_1	sgACOT4_1	NA	sgCTDSP2_1	sgLILRA6_2	sgAIDA_2
sgAKR1B15_4	sgACOT4_3	NA	sgDDT_3	sgLOC100505478_2	sgAIF1_4
sgAKR1C1_4	sgACOT7_1	NA	sgDNAJB14_3	sgLRGUK_3	sgAIMP2_4
sgALG10B_1	sgACOT9_3	NA	sgEIF1AY_4	sgMST1L_1	sgAK1_1
sgALG10B_4	sgACP1_4	NA	sgEIF4A2_2	sgMTMR2_4	sgALDH2_4
sgALG1L2_2	sgACR_3	NA	sgFAM60A_4	sgORM2_2	sgALG1L_2
sgALG1L2_4	sgACSBG2_3	NA	sgFAM63B_1	sgP2RX5_4	sgALLC_1
sgALG1L_1	sgACSM2A_4	NA	sgFCER2_3	sgPARD3B_1	sgALOX12_4
sgALG1L_4	sgACSM2B_3	NA	sgFHL5_3	sgPKD1L3_3	sgANKH_3
sgAMY1A_1	sgACSM3_1	NA	sgFLVCR1_2	sgPOLR2J2_2	sgANKLE1_2
sgAMY1A_2	sgACSM4_4	NA	sgFSTL5_3	sgPTGDR2_3	sgANKLE1_3
sgAMY1A_3	sgACSM5_2	NA	sgGPR160_3	sgRBMS3_2	sgANKRD45_2
sgAMY1A_4	sgACSM5_3	NA	sgGRAMD3_2	sgSLC22A31_3	sgANKRD53_2
sgAMY1B_1	sgACSM6_3	NA	sgGRID1_3	sgSLC6A5_1	sgANKRD66_2
sgAMY1B_2	sgACTA1_1	NA	sgHMGN3_4	sgSPINK14_1	sgANP32A_3
sgAMY1B_3	sgACTBL2_3	NA	sgHMX3_1	sgSRGN_4	sgANP32B_1
sgAMY1B_4	sgACTB_1	NA	sgHNMT_2	sgTBC1D4_2	sgANP32C_2
sgAMY1C_1	sgACTC1_4	NA	sgISY1_1	sgTMEM180_3	sgANP32C_4
sgAMY1C_2	sgACTG1_4	NA	sgKIAA0100_4	sgTMEM191B_2	sgAP1M1_1
sgAMY1C_3	sgACTG2_4	NA	sgKRT6A_1	sgTRUB1_2	sgAP3S1_3
sgAMY1C_4	sgACTN2_1	NA	sgKRT83_1	sgTUSC1_1	sgAP5S1_1
sgAMY2A_1	sgACTN2_4	NA	sgKRTAP29-1_2	sgUGT2B28_4	sgAPBB3_1
sgAMY2A_3	sgACTN4_2	NA	sgKRTAP3-3_3	sgZNF610_3	sgAPIP_1
sgAMY2A_4	sgACTR2_1	NA	sgLOC100652758_2	NA	sgAPOL3_3
sgAMY2B_4	sgACTR2_3	NA	sgMARCH6_2	NA	sgAPP_4
sgANKRD18A_2	sgACTR2_4	NA	sgMAST1_1	NA	sgAQP12A_1
sgANKRD20A1_1	sgACTR3B_1	NA	sgMDH1_3	NA	sgARF4_1
sgANKRD20A1_2	sgACTR3B_2	NA	sgMEP1B_1	NA	sgARHGAP1_2
sgANKRD20A1_3	sgACTR3B_3	NA	sgMGAT4D_1	NA	sgARHGAP26_2
sgANKRD20A1_4	sgACTR3C_3	NA	sgMGST1_2	NA	sgARHGAP42_2
sgANKRD20A2_1	sgACTR3C_4	NA	sgMPEG1_4	NA	sgARHGEF25_2
sgANKRD20A2_2	sgACTR3_4	NA	sgMS4A8_4	NA	sgARHGEF26_2
sgANKRD20A2_4	sgACY1_4	NA	sgMYBL2_2	NA	sgARIH2OS_1
sgANKRD20A3_1	sgADAM15_2	NA	sgNFE2_1	NA	sgARIH2OS_2
sgANKRD20A3_2	sgADAM21_2	NA	sgNUCB1_2	NA	sgARIH2OS_3
sgANKRD20A3_3	sgADAM21_3	NA	sgNon-Targeting Control_429	NA	sgARIH2OS_4
sgANKRD20A3_4	sgADAM21_4	NA	sgOBSCN_4	NA	sgARL16_4
sgANKRD20A4_1	sgADAMTS14_1	NA	sgOR4S2_4	NA	sgARL6IP4_2
sgANKRD20A4_2	sgADAMTS20_3	NA	sgOR52I2_4	NA	sgARL6IP4_3
sgANKRD20A4_4	sgADAMTS7_2	NA	sgOR8B12_2	NA	sgARL6IP4_4
sgANKRD30A_1	sgADAMTS8_2	NA	sgPA2G4_1	NA	sgARMC3_4
sgANKRD30A_2	sgADAMTSL3_1	NA	sgPABPN1_2	NA	sgARPC4_4
sgANKRD30A_4	sgADAMTSL3_3	NA	sgPBOV1_3	NA	sgARTN_2
sgANKRD36_3	sgADCYAP1_1	NA	sgPGLYRP3_3	NA	sgASAH1_4
sgANXA8L1_1	sgADGB_3	NA	sgPPP3R2_1	NA	sgASB10_4
sgANXA8L1_2	sgADGRE1_3	NA	sgPSMC1_4	NA	sgASB16_4
sgANXA8_1	sgADGRF2_4	NA	sgPTN_3	NA	sgASGR1_2
sgANXA8_2	sgADH1B_1	NA	sgPYY_1	NA	sgASIC2_1
sgAP1S2_2	sgADH1B_2	NA	sgRAB11A_1	NA	sgASIC2_2
sgAP1S2_3	sgADH1B_4	NA	sgRASSF1_4	NA	sgATCAY_3
sgAP3S1_1	sgADH1C_1	NA	sgRGS20_4	NA	sgATE1_1
sgAP3S1_2	sgADH1C_2	NA	sgRIMS1_1	NA	sgATE1_4
sgAP4S1_3	sgADH1C_3	NA	sgSLC25A15_1	NA	sgATP11AUN_1
sgAPBB1IP_3	sgADH5_1	NA	sgSLC35A5_3	NA	sgATP11AUN_2
sgAPELA_4	sgADH5_2	NA	sgSLIT1_3	NA	sgATP11AUN_3
sgAPOBEC3A_1	sgADH5_3	NA	sgSMC6_1	NA	sgATP11AUN_4
sgAPOBEC3F_2	sgADH5_4	NA	sgSRA1_3	NA	sgATP2C2_1
sgAPOC1_1	sgADK_2	NA	sgSSBP2_3	NA	sgATP5C1_4
sgAQP12A_4	sgADORA2B_3	NA	sgST6GALNAC2_3	NA	sgATP6AP1L_1
sgAQP12B_2	sgADPGK_3	NA	sgSTMN1_2	NA	sgATP6AP1L_2
sgAQP12B_3	sgADRA1A_1	NA	sgSUMO4_1	NA	sgATP6AP1L_3
sgAQP12B_4	sgADSS_2	NA	sgTADA3_2	NA	sgATP6AP1L_4
sgAQP7_4	sgADSS_4	NA	sgTDRD5_3	NA	sgATP6V0E2_1
sgARHGAP11B_2	sgAEN_1	NA	sgTIMM10_4	NA	sgATP6V1F_2
sgARHGAP11B_3	sgAEN_3	NA	sgTMEM252_4	NA	sgATP7A_4
sgARHGAP11B_4	sgAFF4_3	NA	sgTMEM35_3	NA	sgATP9A_1
sgARHGEF35_1	sgAFG3L2_2	NA	sgTPTE2_4	NA	sgATXN2_4
sgARHGEF35_2	sgAGAP11_2	NA	sgTREML4_1	NA	sgATXN3_1
sgARHGEF35_3	sgAGAP11_3	NA	sgTRIQK_3	NA	sgATXN3_3
sgARHGEF35_4	sgAGAP11_4	NA	sgUBE2H_3	NA	sgATXN3_4
sgARID3B_3	sgAGAP1_4	NA	sgULBP1_3	NA	sgB2M_3
sgARL17A_1	sgAGAP5_3	NA	sgVPS37B_2	NA	sgB4GALT1_4
sgARL17A_2	sgAGAP5_4	NA	sgWBSCR28_4	NA	sgBAALC_3
sgARL17A_3	sgAGAP6_3	NA	sgWDR75_3	NA	sgBAIAP2_2
sgARL17A_4	sgAGAP6_4	NA	sgWSCD2_4	NA	sgBANF2_2
sgARL17B_1	sgAGK_1	NA	sgXPA_2	NA	sgBCAN_4
sgARL17B_2	sgAGO1_1	NA	sgZCRB1_4	NA	sgBCAS4_3
sgARL17B_3	sgAGPAT6_1	NA	sgZNF12_1	NA	sgBCL2L12_1
sgARL17B_4	sgAHCTF1_1	NA	sgZNF140_1	NA	sgBCL2L12_4
sgARL2BP_4	sgAHCTF1_3	NA	sgZNF362_2	NA	sgBHMT2_3
sgARL4A_1	sgAHCTF1_4	NA	sgZNF493_1	NA	sgBIRC8_2
sgARL4A_3	sgAHCY_3	NA	sgZNF566_4	NA	sgBIRC8_4
sgARL4A_4	sgAHNAK2_1	NA	sgZNF628_3	NA	sgBLNK_2
sgARL5A_4	sgAHNAK2_2	NA	sgZNF761_3	NA	sgBLVRB_2
sgARL6IP1_2	sgAHNAK2_3	NA	sgZNF812_3	NA	sgBMX_2
sgARMC10_1	sgAIF1L_3	NA	NA	NA	sgBNIP2_2
sgARMC10_3	sgAIFM1_2	NA	NA	NA	sgBNIP2_3
sgARPP19_1	sgAIM2_1	NA	NA	NA	sgBNIP3_1
sgARPP19_4	sgAIMP2_2	NA	NA	NA	sgBPI_4
sgASAH2B_1	sgAIPL1_4	NA	NA	NA	sgBRI3BP_2
