multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgA4GNT_3	sgA2M_2	NA	sgACBD4_1	sgCCPG1_1	sgAAED1_3
sgABCC6_1	sgAAMDC_1	NA	sgADA_3	sgDMBT1_1	sgABCA7_1
sgABCC6_2	sgABCA1_4	NA	sgADAM20_3	sgEGFP_1	sgABCB1_2
sgABCC6_3	sgABCB7_2	NA	sgADAMTSL4_1	sgEGFP_2	sgABCD4_2
sgABCC6_4	sgABCE1_2	NA	sgADORA1_3	sgEGFP_3	sgAC007040.11_1
sgABCE1_1	sgABCE1_3	NA	sgAGFG1_3	sgEGFP_4	sgAC007040.11_2
sgABCE1_4	sgABCG2_1	NA	sgAGGF1_2	sgEGFP_5	sgAC007040.11_3
sgABHD17A_2	sgABHD10_3	NA	sgANAPC5_2	sgEGFP_6	sgAC016722.1_1
sgACAA2_4	sgABHD17A_3	NA	sgANGPTL7_3	sgEGFP_7	sgAC016722.1_3
sgACER2_2	sgABI1_4	NA	sgANKS4B_3	sgEGFP_8	sgAC016722.1_4
sgACER2_4	sgABI3_2	NA	sgAPLN_1	sgEGFP_9	sgAC016757.3_1
sgACKR4_1	sgABLIM1_2	NA	sgAPLN_2	sgEGFP_10	sgAC016757.3_2
sgACKR4_2	sgAC009892.10_1	NA	sgATAD3C_2	sgEGFP_11	sgAC016757.3_3
sgACKR4_3	sgAC016722.1_2	NA	sgATP5J2_1	sgEGFP_12	sgAC016757.3_4
sgACKR4_4	sgACAA2_3	NA	sgATRIP_4	sgEGFP_13	sgAC018755.1_1
sgACO2_4	sgACAN_2	NA	sgBCL2_3	sgEGFP_14	sgAC018755.1_2
sgACP1_4	sgACAN_4	NA	sgBEST4_3	sgEGFP_15	sgAC018755.1_3
sgACR_3	sgACER2_3	NA	sgBPIFA3_2	sgEGFP_16	sgAC018755.1_4
sgACR_4	sgACE_4	NA	sgC10orf91_2	sgEGFP_17	sgAC079612.1_1
sgACSBG2_3	sgACMSD_3	NA	sgC14orf164_4	sgEGFP_18	sgAC079612.1_2
sgACSM5_1	sgACN9_3	NA	sgC16orf62_2	sgEGFP_19	sgAC079612.1_3
sgACSM5_3	sgACO2_1	NA	sgC2orf69_2	sgEGFP_20	sgAC079612.1_4
sgACTR1A_4	sgACOT4_1	NA	sgC3orf38_2	sgEGFP_21	sgAC091801.1_1
sgACTR2_3	sgACOT4_4	NA	sgC3orf79_2	sgEGFP_22	sgAC091801.1_2
sgACTR2_4	sgACOT7_4	NA	sgC9orf129_2	sgKCNA5_2	sgAC091801.1_3
sgACTR3C_1	sgACP1_3	NA	sgC9orf57_4	sgKCNA5_3	sgAC091801.1_4
sgACTR3C_2	sgACSM3_4	NA	sgC9orf96_1	sgKRT1_3	sgAC093802.1_1
sgADAM21_1	sgACSM5_2	NA	sgCALML6_2	sgORM2_1	sgAC093802.1_2
sgADAM21_2	sgACTB_1	NA	sgCCDC3_4	sgORM2_2	sgAC093802.1_3
sgADAM21_4	sgACTR2_2	NA	sgCCDC94_3	sgORM2_3	sgAC093802.1_4
sgADH1B_2	sgACTR3_2	NA	sgCD97_3	sgORM2_4	sgAC106876.2_1
sgADH1B_3	sgACTR3_4	NA	sgCDADC1_3	sgSLC25A24_1	sgAC106876.2_2
sgADH1B_4	sgADAD2_2	NA	sgCDV3_2	sgSPINK14_4	sgAC106876.2_3
sgADH5_1	sgADAM21_3	NA	sgCETN2_2	sgZDHHC11B_1	sgAC106876.2_4
sgADPGK_2	sgADAM29_3	NA	sgCMTM7_2	sgZNF2_3	sgACD_1
sgADSS_2	sgADAM29_4	NA	sgCOG1_2	NA	sgACLY_4
sgAFG3L2_2	sgADAMTS7_2	NA	sgCOX15_4	NA	sgACOT7_1
sgAFG3L2_4	sgADAMTSL4_2	NA	sgCOX18_1	NA	sgACP1_1
sgAGK_2	sgADAR_2	NA	sgCPLX1_3	NA	sgACP1_2
sgAHCTF1_2	sgADAT1_3	NA	sgCPXM2_1	NA	sgACRV1_1
sgAIDA_1	sgADGB_3	NA	sgCRB1_3	NA	sgACSL6_4
sgAIDA_2	sgADH5_2	NA	sgCRY2_1	NA	sgACSS2_3
sgAIDA_4	sgADIPOR1_1	NA	sgCRYZL1_3	NA	sgACTC1_3
sgAK2_1	sgADIPOR1_3	NA	sgCSMD1_1	NA	sgACTL6B_2
sgAK2_2	sgADK_2	NA	sgCTSF_3	NA	sgACTN1_2
sgAK2_4	sgADORA2B_3	NA	sgCXCL1_2	NA	sgADAM11_1
sgAK4_1	sgADSS_4	NA	sgDCDC2B_4	NA	sgADAM8_4
sgAK4_2	sgAEBP1_2	NA	sgDCXR_4	NA	sgADAMTS9_3
sgAKR1B10_1	sgAFAP1L1_4	NA	sgDHRS3_3	NA	sgADAMTSL4-AS1_1
sgAKR1B1_1	sgAFAP1L2_2	NA	sgDTNA_1	NA	sgADAMTSL4-AS1_2
sgAKR7A3_1	sgAFF2_3	NA	sgECE2_1	NA	sgADAMTSL4-AS1_3
sgAKTIP_1	sgAFG3L2_3	NA	sgEDDM3A_4	NA	sgADAMTSL4-AS1_4
sgAKTIP_2	sgAGRP_2	NA	sgEGR3_2	NA	sgAFAP1_1
sgAKTIP_3	sgAHCTF1_3	NA	sgEIF3I_4	NA	sgAGMAT_2
sgALDH7A1_1	sgAHCY_1	NA	sgELAVL4_1	NA	sgAGR2_1
sgALDH7A1_3	sgAHNAK2_1	NA	sgELF5_2	NA	sgAHCTF1_1
sgALOX15_2	sgAHNAK2_2	NA	sgESPN_2	NA	sgAHSA2_1
sgAMPD1_1	sgAHNAK2_3	NA	sgETFA_4	NA	sgAHSA2_2
sgAMZ2_1	sgAHNAK2_4	NA	sgEVI5L_2	NA	sgAHSA2_4
sgAMZ2_2	sgAHNAK_3	NA	sgEVI5L_4	NA	sgAIM1L_4
sgANAPC1_1	sgAHNAK_4	NA	sgFBXO34_2	NA	sgAKAP2_1
sgANAPC1_2	sgAHSA2_3	NA	sgFMO3_3	NA	sgAKAP2_2
sgANAPC1_3	sgAIF1_3	NA	sgFOXF2_4	NA	sgAKAP8_2
sgANKRD62_4	sgAIFM2_3	NA	sgFOXP1_2	NA	sgAKNA_4
sgANP32A_2	sgAIM2_2	NA	sgFREM1_2	NA	sgAKT3_3
sgANP32B_2	sgAIMP1_4	NA	sgFSTL1_4	NA	sgALKBH1_3
sgANXA2_1	sgAK2_3	NA	sgFTSJ1_4	NA	sgALPK3_1
sgANXA2_3	sgAK4_3	NA	sgGABRB1_2	NA	sgAMPD2_1
sgANXA2_4	sgAKAP5_2	NA	sgGAL3ST4_1	NA	sgANAPC13_1
sgAOC3_1	sgAKAP8L_4	NA	sgGLB1L3_4	NA	sgANGPT4_3
sgAOC3_4	sgAKIRIN1_4	NA	sgGLS2_2	NA	sgANKHD1-EIF4EBP3_1
sgAP1B1_1	sgAKIRIN2_4	NA	sgGRIK2_3	NA	sgANKHD1-EIF4EBP3_2
sgAP1S2_1	sgAKR1B10_4	NA	sgGSTA3_1	NA	sgANKHD1-EIF4EBP3_3
sgAP1S2_3	sgAKR1C4_2	NA	sgGTF3C2_4	NA	sgANKHD1-EIF4EBP3_4
sgAP2B1_3	sgAKR1D1_1	NA	sgHADHA_3	NA	sgANKLE2_1
sgAP2B1_4	sgAKR1D1_2	NA	sgHCFC2_4	NA	sgANKRD24_1
sgAP3S1_1	sgAKR7A2_2	NA	sgHGFAC_2	NA	sgANKRD28_1
sgAP3S1_2	sgAKR7A2_3	NA	sgHIP1R_4	NA	sgANKRD33_2
sgAP3S1_3	sgAKR7A3_3	NA	sgHMGN3_2	NA	sgANKRD33_4
sgAP3S1_4	sgAKTIP_4	NA	sgHPS5_4	NA	sgANKRD66_1
sgAPI5_1	sgALDH16A1_3	NA	sgHSD3B1_2	NA	sgANKRD66_2
sgAPI5_3	sgALDH1A2_2	NA	sgIL13RA2_1	NA	sgANO10_1
sgAPI5_4	sgALDH3B2_3	NA	sgIL31RA_1	NA	sgANO7_1
sgAPIP_4	sgALDH4A1_3	NA	sgINS_1	NA	sgANP32A_3
sgAPOA1BP_4	sgALDOA_1	NA	sgIRF2BP2_1	NA	sgANXA6_4
sgAPOC1_1	sgALDOA_2	NA	sgISL2_4	NA	sgAP001816.1_1
sgAPOC1_2	sgALG11_2	NA	sgKDM2A_2	NA	sgAP001816.1_2
sgAPOOL_3	sgALG3_4	NA	sgKIF22_3	NA	sgAP001816.1_3
sgAPOOL_4	sgALKBH3_2	NA	sgKLHL5_4	NA	sgAP001816.1_4
sgAQP10_1	sgALKBH8_4	NA	sgKRT17_1	NA	sgAP003774.4_1
sgAQP10_2	sgALMS1_1	NA	sgKRTAP17-1_1	NA	sgAP003774.4_2
sgARF4_1	sgALMS1_3	NA	sgLAMP3_4	NA	sgAP003774.4_3
sgARF4_2	sgALOX15_3	NA	sgLITAF_4	NA	sgAP003774.4_4
sgARF4_3	sgALOX5AP_2	NA	sgLONRF2_3	NA	sgAP1S3_3
sgARF4_4	sgALPP_1	NA	sgLRCH4_4	NA	sgAP4B1_2
sgARGFX_3	sgALYREF_3	NA	sgLRRC59_2	NA	sgAPLN_3
sgARHGAP42_1	sgAMHR2_3	NA	sgLRRC6_4	NA	sgAPOL2_1
sgARHGAP42_2	sgAMH_2	NA	sgMAP3K7CL_2	NA	sgAPOL2_2
sgARHGAP42_3	sgAMIGO2_4	NA	sgMATK_2	NA	sgAPOL2_4
sgARHGAP5_1	sgAMOT_2	NA	sgMC4R_3	NA	sgAPOL3_1
