multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgABCC6_10	sgA4GALT_4	NA	sgABCB11_5	sgAPOL1_4	sgAARS2_3
sgABCC6_6	sgA4GALT_5	NA	sgABI1_4	sgATP4A_1	sgABCF3_2
sgABCC6_7	sgA4GNT_5	NA	sgABLIM3_3	sgCCDC37_4	sgACD_3
sgABCC6_8	sgAACS_5	NA	sgABRA_5	sgCLEC1B_5	sgACD_4
sgABCC6_9	sgAADACL2_4	NA	sgACADSB_3	sgCREB3L2_1	sgACOT9_5
sgABCE1_3	sgAADAC_4	NA	sgACER1_2	sgDCK_3	sgACP1_10
sgABCE1_5	sgAAGAB_5	NA	sgACOT8_5	sgERCC6_3	sgACP1_11
sgABCF2_4	sgAAMDC_4	NA	sgACOT9_3	sgFAM90A1_1	sgACP1_9
sgABCG2_2	sgAASDH_1	NA	sgACPP_5	sgFAM90A1_2	sgADORA3_7
sgABHD17A_2	sgABCA10_5	NA	sgADAD1_4	sgFZD5_2	sgAGRP_2
sgABHD17A_3	sgABCA9_2	NA	sgADAM18_4	sgGARS_1	sgAIF1L_2
sgABT1_5	sgABCB10_3	NA	sgADARB1_4	sgHAVCR1_1	sgAKAP7_12
sgACAA2_2	sgABCB5_2	NA	sgADCK5_3	sgHLA-B_2	sgAKAP7_13
sgACAA2_5	sgABCB6_5	NA	sgADIRF_1	sgHLA-DQA1_3	sgAKAP7_14
sgACBD7_2	sgABCB7_4	NA	sgADIRF_4	sgIRF7_2	sgAKT2_4
sgACCSL_4	sgABHD10_2	NA	sgAFAP1_1	sgITGAE_1	sgAKTIP_1
sgACKR4_1	sgABHD14A_4	NA	sgAGTRAP_2	sgMOGS_2	sgALAD_4
sgACKR4_2	sgABHD14A_5	NA	sgAHCY_4	sgMSX1_5	sgALDOA_3
sgACKR4_3	sgABHD14B_4	NA	sgAIDA_2	sgMYLK_9	sgALDOC_5
sgACKR4_4	sgABHD4_5	NA	sgAIF1_4	sgPOTEM_1	sgALG3_2
sgACKR4_5	sgABT1_4	NA	sgAKT3_5	sgRGPD4_1	sgALPK3_1
sgACO2_4	sgACAA2_3	NA	sgALKBH8_5	sgSCN9A_1	sgALPP_3
sgACO2_5	sgACAA2_4	NA	sgAMBN_1	sgSIRPA_1	sgALX4_1
sgACOT1_1	sgACACB_1	NA	sgANAPC11_4	sgSLC6A5_2	sgAMPH_1
sgACOT1_4	sgACACB_3	NA	sgANKRD23_4	sgSTON1_5	sgAMZ1_2
sgACOT2_3	sgACBD7_1	NA	sgANKRD66_5	sgTARSL2_4	sgANAPC11_6
sgACOT4_3	sgACBD7_5	NA	sgANP32E_1	sgTMEM132A_5	sgANAPC11_7
sgACP1_5	sgACCSL_5	NA	sgAP4S1_2	sgUSP20_3	sgANAPC11_8
sgACR_4	sgACCS_2	NA	sgAPOA2_2	sgZNF609_3	sgANAPC11_9
sgACR_5	sgACER2_2	NA	sgARFGAP1_5	sgZXDB_5	sgANK1_10
sgACSBG2_5	sgACER2_3	NA	sgARHGAP15_2	NA	sgANK1_12
sgACSM2A_1	sgACER2_5	NA	sgARHGEF5_5	NA	sgANK1_13
sgACSM2B_1	sgACER3_2	NA	sgAS3MT_1	NA	sgANK1_8
sgACSM2B_3	sgACER3_5	NA	sgASNA1_1	NA	sgANK1_9
sgACSM2B_4	sgACKR3_1	NA	sgASPDH_5	NA	sgANKRD2_3
sgACSM5_2	sgACOT13_2	NA	sgATG4C_3	NA	sgANKRD66_1
sgACSM5_4	sgACOT13_5	NA	sgATOX1_1	NA	sgANKRD66_3
sgACTB_1	sgACOT1_2	NA	sgATP6V0B_3	NA	sgANO7_1
sgACTG1_2	sgACOT4_2	NA	sgATP6V0D2_2	NA	sgANO8_5
sgACTR2_1	sgACP1_4	NA	sgAWAT2_5	NA	sgANXA8L1_1
sgACTR2_2	sgACP1_7	NA	sgBANF2_3	NA	sgAP1M2_4
sgACTR2_3	sgACSBG1_4	NA	sgBCL2L13_5	NA	sgAPOBEC3H_5
sgACTR3B_1	sgACSBG2_3	NA	sgBCL2L14_4	NA	sgAPOL3_7
sgACTR3B_2	sgACSL1_4	NA	sgBDH2_1	NA	sgARHGEF11_5
sgACTR3B_4	sgACSL4_2	NA	sgBID_4	NA	sgARNT_2
sgACTR3B_5	sgACSL5_5	NA	sgBIRC5_4	NA	sgARPC3_4
sgACTR3C_1	sgACSM4_3	NA	sgBLMH_4	NA	sgAR_1
sgACTR3C_2	sgACSM4_5	NA	sgBPIFB2_2	NA	sgASIC4_1
sgACTR3C_3	sgACSM5_1	NA	sgC10orf11_5	NA	sgASIC4_2
sgACTR3C_4	sgACSM5_3	NA	sgC11orf16_4	NA	sgASPH_10
sgADAM21_1	sgACSM5_5	NA	sgC11orf58_5	NA	sgASPH_9
sgADAM21_2	sgACTBL2_3	NA	sgC15orf43_2	NA	sgASPRV1_5
sgADAT2_3	sgACTB_4	NA	sgC17orf49_5	NA	sgASTN2_9
sgADH1B_2	sgACTG1_1	NA	sgC17orf53_4	NA	sgATF7IP2_2
sgADH1B_3	sgACTG1_3	NA	sgC18orf63_4	NA	sgATOX1_3
sgADH1B_4	sgACTN4_1	NA	sgC19orf80_4	NA	sgATP13A5_4
sgADH5_2	sgACTR1A_4	NA	sgC1D_3	NA	sgATP5C1_3
sgADH5_3	sgACTR2_4	NA	sgC1S_4	NA	sgATP6V1G2_7
sgADPGK_1	sgACTR2_5	NA	sgC1orf100_6	NA	sgATXN10_1
sgADRBK2_1	sgACTR3B_3	NA	sgC1orf110_4	NA	sgATXN2_4
